scope,lo,hi,cover,shift,count,sum,local_mean,residual,residual_rate,z
block,1000000,2000000,11,2,6702,-714,-0.1111111111111111,30.66666666666663,0.00457574853277628,0.37693101748556507
block,1000000,2000000,13,2,6702,-586,-0.09090909090909091,23.272727272727252,0.003472504815387534,0.2854612285426763
block,1000000,2000000,17,2,6702,-440,-0.06666666666666667,6.800000000000011,0.0010146225007460477,0.08324802727557185
block,1000000,2000000,19,2,6702,-428,-0.058823529411764705,-33.76470588235293,-0.005038004458721714,-0.41315540318537824
block,1000000,2000000,5,6,13033,-4383,-0.3333333333333333,-38.66666666666697,-0.0029668277961073406,-0.3592450544275736
block,1000000,2000000,7,6,13033,-2651,-0.2,-44.399999999999636,-0.0034067367451852707,-0.39694026561287216
block,1000000,2000000,11,6,13033,-1511,-0.1111111111111111,-62.888888888888914,-0.00482535785228949,-0.5543055666728717
block,1000000,2000000,13,6,13033,-1225,-0.09090909090909091,-40.181818181818244,-0.003083082803791778,-0.3534349137634308
block,1000000,2000000,17,6,13033,-1085,-0.06666666666666667,-216.13333333333333,-0.01658354433617228,-1.897434547464279
block,1000000,2000000,19,6,13033,-625,-0.058823529411764705,141.6470588235294,0.010868338741926602,1.2429053032494115
block,1000000,2000000,5,8,6602,-2200,-0.3333333333333333,0.6666666666665151,0.0001009795011612413,0.008702564327306851
block,1000000,2000000,7,8,6602,-1374,-0.2,-53.59999999999991,-0.008118751893365634,-0.6732733328395785
