feature,key,L,eta,split,distinct_h,cell_count,mean_z,std_z
bigomega,4,8192,0.7144975912774558,holdout,37,37,0.01005213142885216,0.15825213238600302
bigomega,5,256,0.4396908254015113,train,15,15,-0.0004266211604095555,0.04043475529216354
bigomega,5,256,0.4396908254015113,holdout,21,21,0.022204615634649764,0.044180112928038945
bigomega,5,512,0.4946521785767002,train,15,15,0.004029098468299419,0.028164321561879917
bigomega,5,512,0.4946521785767002,holdout,21,21,0.01277799799946385,0.047014800755069946
bigomega,5,1024,0.5496135317518891,train,15,15,0.005436643835616439,0.04006585266814248
bigomega,5,1024,0.5496135317518891,holdout,21,21,0.01804060665362035,0.0674019758669814
bigomega,5,2048,0.604574884927078,train,15,15,0.006940459600563845,0.05650324662612202
bigomega,5,2048,0.604574884927078,holdout,21,21,0.02558648126163891,0.09528590307438344
bigomega,5,4096,0.6595362381022669,train,15,15,0.00945069204152249,0.07966437311425811
bigomega,5,4096,0.6595362381022669,holdout,21,21,0.036965521502718736,0.1349165950858332
bigomega,5,8192,0.7144975912774558,train,15,15,0.016891995328345306,0.11285909234683078
bigomega,5,8192,0.7144975912774558,holdout,21,21,0.05287609527340822,0.19038108415440771
bigomega,6,256,0.4396908254015113,train,7,7,0.015388834714773283,0.04961132524276008
bigomega,6,256,0.4396908254015113,holdout,8,8,0.008052474402730376,0.051076161029068215
bigomega,6,512,0.4946521785767002,train,7,7,-0.0027628103782624458,0.047781516811194635
bigomega,6,512,0.4946521785767002,holdout,8,8,0.011256293845811484,0.03797403359249104
bigomega,6,1024,0.5496135317518891,train,7,7,-0.003608121330724071,0.06774168815185826
bigomega,6,1024,0.5496135317518891,holdout,8,8,0.0155982448630137,0.05359294463948969
bigomega,6,2048,0.604574884927078,train,7,7,-0.005033406149830545,0.0963930801096341
bigomega,6,2048,0.604574884927078,holdout,8,8,0.021707920003404626,0.07467267611208513
bigomega,6,4096,0.6595362381022669,train,7,7,-0.0057000741473059845,0.13665416290875457
bigomega,6,4096,0.6595362381022669,holdout,8,8,0.02919550173010381,0.10488928703749939
bigomega,6,8192,0.7144975912774558,train,7,7,-0.009032668860551837,0.1919353476555859
bigomega,6,8192,0.7144975912774558,holdout,8,8,0.042779184925403196,0.1484862045834393
bigomega,7,256,0.4396908254015113,train,2,2,-0.07348549488054607,0.002865833797471079
bigomega,7,256,0.4396908254015113,holdout,5,5,-0.007295221843003413,0.04368400699347556
bigomega,7,512,0.4946521785767002,train,2,2,-0.03391997272999576,0.016987179487179493
bigomega,7,512,0.4946521785767002,holdout,5,5,-0.007947396728720597,0.0376584908963626
bigomega,7,1024,0.5496135317518891,train,2,2,-0.04612585616438356,0.02239978673279303
bigomega,7,1024,0.5496135317518891,holdout,5,5,-0.013142123287671234,0.054382625964166355
bigomega,7,2048,0.604574884927078,train,2,2,-0.061697192838710266,0.03291451890034359
bigomega,7,2048,0.604574884927078,holdout,5,5,-0.019955719726785327,0.07726802777476766
bigomega,7,4096,0.6595362381022669,train,2,2,-0.08720804498269896,0.052681290250598097
bigomega,7,4096,0.6595362381022669,holdout,5,5,-0.026903114186851207,0.10678476210698025
bigomega,7,8192,0.7144975912774558,train,2,2,-0.12632168018072185,0.07793311403508786
bigomega,7,8192,0.7144975912774558,holdout,5,5,-0.03841791777170338,0.15155223182194313
bigomega,8,256,0.4396908254015113,train,1,1,-0.05247440273037542,0
bigomega,8,256,0.4396908254015113,holdout,1,1,-0.06079351535836178,0
bigomega,8,512,0.4946521785767002,train,1,1,-0.0273475058535823,0
bigomega,8,512,0.4946521785767002,holdout,1,1,-0.04306098987995002,0
bigomega,8,1024,0.5496135317518891,train,1,1,-0.039383561643835614,0
bigomega,8,1024,0.5496135317518891,holdout,1,1,-0.061215753424657536,0
bigomega,8,2048,0.604574884927078,train,1,1,-0.05330637461264556,0
bigomega,8,2048,0.604574884927078,holdout,1,1,-0.08512314236577762,0
bigomega,8,4096,0.6595362381022669,train,1,1,-0.08109861591695501,0
bigomega,8,4096,0.6595362381022669,holdout,1,1,-0.11721453287197232,0
bigomega,8,8192,0.7144975912774558,train,1,1,-0.12727146724974964,0
bigomega,8,8192,0.7144975912774558,holdout,1,1,-0.17154317471219682,0
bigomega,9,256,0.4396908254015113,holdout,1,1,-0.02666382252559727,0
bigomega,9,512,0.4946521785767002,holdout,1,1,-0.00604364770244912,0
bigomega,9,1024,0.5496135317518891,holdout,1,1,-0.007384417808219178,0
bigomega,9,2048,0.604574884927078,holdout,1,1,-0.008656590749062106,0
bigomega,9,4096,0.6595362381022669,holdout,1,1,-0.01676038062283737,0
bigomega,9,8192,0.7144975912774558,holdout,1,1,-0.03264166171924748,0
